Region,centrality,partition,pc,wmdz
Ectorhinal area,42.32139756539999,3.0,0.6768024789835743,-1.284539916029184
Endopiriform nucleus,14.838988539919999,2.0,0.4771628549974404,-1.806747191290355
Entorhinal area lateral part,32.136739712460006,2.0,0.5026840217599681,-0.05024261200693617
Entorhinal area medial part,29.902916192299983,2.0,0.3030569881675309,0.7344065660831758
Field CA1,23.8838339605,2.0,0.171001232936054,0.2333997870600821
Field CA2,16.32925827866,2.0,0.294161173839711,-1.169917469845381
Field CA3,22.886062610899987,2.0,0.3860075599461764,-0.572192850325697
Frontal pole cerebral cortex,22.321247288419993,2.0,0.4967117873890307,-1.398104629534452
Fundus of striatum,52.8691271276,4.0,0.6760144106290972,0.0
Globus pallidus external segment,25.46109064691001,2.0,0.2664079861353498,0.224408059631083
Gustatory areas,53.016517450100004,1.0,0.5745794972112483,1.52520933690668
Inferior colliculus,15.029723451750003,2.0,0.4935348767483811,-2.028707069846679
Infralimbic area,17.96866547608001,2.0,0.5347086426563943,-1.777682701342849
Intercalated amygdalar nucleus,39.911896865360006,2.0,0.5270043017260538,0.8675987036704603
Interpeduncular nucleus,34.89619586205001,1.0,0.3974164716768568,-0.2582465538835059
Lateral amygdalar nucleus,16.119687909949995,2.0,0.2356172532716992,-1.070205100638026
Lateral dorsal nucleus of thalamus,36.51409793430002,2.0,0.3419224410624288,1.537345527535551
Lateral habenula,33.54170452148,2.0,0.514116995846245,0.088034981993005
Lateral hypothalamic area,50.85494025620001,3.0,0.6837396592694642,-0.8185533599788454
Lateral posterior nucleus of the thalamus,39.023799498263,2.0,0.4662994717909195,1.207888758562823
Lateral preoptic area,45.43855439602002,3.0,0.6778395416447615,-1.196650265477538
Lateral septal complex,48.062775233800004,1.0,0.5274594961744564,1.373591746538028
Lateral visual area,22.67389149916,3.0,0.3746555929448173,-0.5828925250564867
Magnocellular nucleus,54.76235866849999,3.0,0.6012716353785901,0.3482847291919868
Medial amygdalar nucleus,24.232217457799994,2.0,0.5520042444464413,-1.399718080890517
Medial geniculate complex,36.178996264799984,3.0,0.5870379991582823,0.001964759414922555
Medial habenula,30.696505440549995,1.0,0.3542902751708161,-1.164396217085615
Medial preoptic area,57.330635806239975,1.0,0.6322873015877475,0.0684161827355841
Medial preoptic nucleus,56.09742007705995,1.0,0.6290208016859204,0.2415772128168942
Medial pretectal area,26.124205616465993,1.0,0.3639362945915329,-2.739280400356782
Medial septal nucleus,41.446065781199984,1.0,0.4836491469965002,0.134172986335575
Median preoptic nucleus,44.58481019741002,1.0,0.5621939908063442,-0.5879188738402105
Mediodorsal nucleus of thalamus,43.6770267863,2.0,0.5687544759404759,0.9288317106129227
Midbrain reticular nucleus,45.64976747467,3.0,0.6102090140968741,1.001386521059634
Nucleus accumbens,52.35574639049998,1.0,0.5847986926815811,0.5676171921880185
Olfactory tubercle,50.34163693479999,2.0,0.6511290192125194,-0.2699796072069306
Olivary pretectal nucleus,37.62445017237,1.0,0.4037671324593115,0.4974486362144
Orbital area lateral part,13.853001475449998,2.0,0.457555369937823,-1.930575500089254
Orbital area medial part,41.957497382880014,1.0,0.6020579165028968,-1.422134731591752
Orbital area ventrolateral part,17.64883283678,2.0,0.4586245441835436,-1.518005895961725
Parasubiculum,34.69390534289002,3.0,0.4940829031598112,0.7343467150202614
Parasubthalamic nucleus,41.90564126906,1.0,0.5747364824509922,-2.343180861909942
Parataenial nucleus,50.06216445799999,1.0,0.6004727733825177,0.186906199155077
Paraventricular hypothalamic nucleus,38.235512642100026,1.0,0.4206698508613474,0.4817384689284464
Paraventricular nucleus of the thalamus,39.323782674217995,1.0,0.4599511087019795,0.2411403990286319
Pedunculopontine nucleus,34.8473131899,3.0,0.5497321256464407,0.3135701712082927
Periaqueductal gray,36.79020216704999,3.0,0.5031331472341671,0.08357788760410316
Perirhinal area,27.2644873466,2.0,0.1422020881374327,0.8445343844414624
Periventricular hypothalamic nucleus posterior part,42.190469279999974,1.0,0.4925977701585614,0.5013505548570735
Periventricular zone,36.76124110089999,1.0,0.3928840966629422,0.3582515685745837
Piriform area,55.53057053950001,1.0,0.6383726176321822,0.1908229244576067
Piriform-amygdalar area,39.1792082699,3.0,0.644851403609159,-1.002528144435271
Pons,53.35942625639999,1.0,0.5658158444707561,0.7756387887904841
Pons motor related,43.41874081563,1.0,0.4885365971349014,-0.05555452493400437
Posterior amygdalar nucleus,47.09785756265601,3.0,0.6387327936048302,0.7606793291469015
Posterior complex of the thalamus,41.851873564899975,2.0,0.5532171664465776,0.9628728474776242
Posterior hypothalamic nucleus,41.701818204700004,1.0,0.4551645406126982,0.5398346700912153
Postsubiculum,43.114482986420015,3.0,0.5886027219917687,0.679557149131828
Precommissural nucleus,37.943977936410015,1.0,0.4120193552074195,0.2736564354851894
Prelimbic area,15.926699593240002,2.0,0.5150192906584383,-1.6612203266082
