Region,node_strength,manual_partition,manual_pc,manual_wmdz,dd_partition,dd_pc,dd_wmdz
Medial septal nucleus,3.9261355410000003,5.0,0.625513194319343,0.28988912925083316,1.0,0.0,1.234062490472825
Mediodorsal nucleus of thalamus,6.856126438,4.0,0.775856619161857,-1.018259512174334,5.0,0.6117010028503643,-1.102621281581532
Midbrain reticular nucleus,4.915110996999999,6.0,0.6388209627600829,0.0,11.0,0.0,1.710151489881475
Nucleus accumbens,1.9420430899999999,5.0,0.4999783203785526,-1.4414180616201204,1.0,0.0,-1.422009908249112
Olfactory tubercle,2.9270045319999998,7.0,0.6665780740173588,-1.2150269596585288,1.0,0.0,-0.1034579937034944
Orbital area lateral part,11.717697916999999,1.0,0.7360892826566505,-0.08520012472611906,7.0,0.2890447275475027,-0.7134866375059107
Orbital area medial part,7.8301510279999995,1.0,0.6249946326232692,-1.0106504960233564,6.0,0.3738603998006073,-0.004032066257276832
Orbital area ventrolateral part,12.626137794,1.0,0.8174511983672904,2.7077965028023154,8.0,0.5200624349495095,0.04683872115732429
Parasubiculum,2.941328447,4.0,0.445042397642065,-1.018259512174334,11.0,0.0,0.0693689982414105
Parataenial nucleus,9.835661252000001,5.0,0.7990733336321818,1.9892387463759533,8.0,0.0,0.972414399758575
Paraventricular hypothalamic nucleus,2.9316496990000003,2.0,0.44062018294611893,-1.181986424915746,1.0,0.0,-0.09723958394646066
Pedunculopontine nucleus,1.9526165789999999,3.0,0.4999191629731492,-0.8164503501095192,11.0,0.0,-0.7525356853779391
Periaqueductal gray,0.9792814470000001,6.0,0.0,0.0,11.0,0.0,-1.561657867091305
Perirhinal area,3.925448989,4.0,0.7499754447838545,-0.5457222819436345,1.0,0.0,1.233143414440571
Periventricular zone,0.959698747,2.0,0.0,-1.181986424915746,4.0,0.0,-0.8717349508230544
Piriform area,0.972534001,7.0,0.0,-0.7957804708029649,12.0,0.0,0.0
Piriform-amygdalar area,5.939149325,2.0,0.6123073990507034,1.4928914576649088,5.0,0.0,0.471682119674754
Pons,0.989677195,7.0,0.0,-1.2150269596585288,13.0,0.0,0.0
Posterior complex of the thalamus,8.779002152,7.0,0.8138281277111601,-0.3619223714186194,7.0,0.1954262758225699,-1.415661177816859
Posterior hypothalamic nucleus,3.904949671,2.0,0.7499549207194459,-0.29913072378088956,8.0,0.3747267769833282,-2.140223469224147
Postsubiculum,0.982486216,4.0,0.0,-1.018259512174334,14.0,0.0,0.0
Prelimbic area,2.942686208,1.0,0.44170856152939364,-0.0753965012194967,1.0,0.0,-0.08246518826828993
Presubiculum,1.956509549,4.0,0.49981869957860536,-1.018259512174334,1.0,0.0,-1.402643894111123
Primary auditory area,0.9627841109999999,7.0,0.0,-1.2150269596585288,15.0,0.0,0.0
Primary motor area,10.830357072,7.0,0.7102211371555336,0.9097952828063212,2.0,0.4609051448663415,0.2403187422439476
Primary somatosensory area lower limb,10.763364668,7.0,0.7273608925899233,0.895032370324071,6.0,0.5110102321005565,0.4497171760268009
Primary somatosensory area mouth,6.851799864,7.0,0.6937580875790871,0.05249597337429446,2.0,0.0,0.1883184848986965
Primary somatosensory area trunk,18.577292947,7.0,0.7367669754340682,1.7092055935289416,7.0,0.5572527482541874,-0.3503012979646665
Primary somatosensory area upper limb,10.760607376000001,7.0,0.6945450448888452,0.8961110074846369,6.0,0.4260989847938461,0.9057021492176872
Primary visual area,16.657351786,7.0,0.7268042319495118,1.3137089750423716,7.0,0.4145875559539376,-0.0055956916144941
Reticular nucleus of the thalamus,10.782643631,1.0,0.8090456453888709,0.8833563312288616,8.0,0.0,1.399240825819161
Retrochiasmatic area,0.9627841109999999,3.0,0.0,-0.8164503501095192,15.0,0.0,0.0
Retrosplenial area dorsal part,18.643897418,4.0,0.7423574897589087,1.3581385328725244,7.0,0.5738146004959112,-0.3327575977821561
Secondary motor area,17.671813099999998,3.0,0.6845394552722003,-0.8164503501095192,7.0,0.4330681262166864,0.3759560014926648
Substantia innominata,3.952975968,5.0,0.7499901856165798,0.28213519162923306,11.0,0.0,0.9103398236081028
Substantia nigra compact part,2.931116631,3.0,0.6666504612999922,1.2415010050285578,11.0,0.0,0.06088003429720571
Substantia nigra reticular part,1.949590703,3.0,0.0,-0.8164503501095192,4.0,0.0,0.860277964098539
Subthalamic nucleus,9.840641243999999,3.0,0.7787494703365859,1.2078500452999996,8.0,0.0,0.9746589950481028
Superior colliculus motor related,2.926263986,7.0,0.6666425455329433,-1.2150269596585288,11.0,0.0,0.05684608691321236
Superior colliculus sensory related,3.908884993,7.0,0.49999667116784274,-1.2150269596585288,10.0,0.0,1.085957379319294
Supplemental somatosensory area,12.700991034,7.0,0.745288802060621,0.8907900213782911,6.0,0.5410041770103016,0.9085046293792203
Suprachiasmatic nucleus,0.982486216,3.0,0.0,-0.8164503501095192,14.0,0.0,0.0
Taenia tecta,14.761122491000002,2.0,0.6842941374778845,1.4705143355518209,7.0,0.2278466518199815,0.3703889630826379
Temporal association areas,12.751733293000001,7.0,0.6985848917755009,1.3218415276793996,2.0,0.5997071451996492,0.2505939518987614
Tuberal nucleus,2.9173368809999998,5.0,0.6666243469558264,0.23833779672984368,10.0,0.0,0.1340444472460863
Ventral anterior-lateral complex of the thalamus,9.737312943,6.0,0.7209718908113385,0.0,7.0,0.5610575954533047,-2.12359584283299
Ventral auditory area,10.740477598,7.0,0.6947627701426734,0.4685353813966508,6.0,0.1643795801401837,1.783656818807336
Ventral medial nucleus of the thalamus,7.885860826,1.0,0.7489746157445407,-0.05801422927572475,5.0,0.4024947805308544,0.4710713195078258
Ventral tegmental area,9.744898047,5.0,0.7995932745340155,1.9369404814579783,8.0,0.6198988790528617,-1.263338051285664
Ventrolateral preoptic nucleus,5.810698003,5.0,0.6693351620431542,0.2949414671230556,6.0,0.4436926141849544,-0.9240474399189642
Ventromedial hypothalamic nucleus,4.84159334,2.0,0.5603890756112315,1.4458015372799327,5.0,0.4813481145103197,-1.130829728946544
Visceral area,16.632816655,2.0,0.6986748199348253,0.6020532476839241,2.0,0.6223082663395021,-0.4318567395433691
Zona incerta,8.854384274000001,1.0,0.8144102551231436,0.8780334635035909,8.0,0.0,0.5301306204790099
posteromedial visual area,9.814417342999999,7.0,0.6999050679190664,0.4821844662475199,2.0,0.3335138966660526,0.8886222079761804
